ny,nx,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8
3,6,224,-0.013779497998947666,350,-0.01480320484760479,224,-0.014609705726383425,350,-0.014804653246830949
3,5,192,-0.013618080986150555,298,-0.014773511474602988,192,-0.014500436157190499,298,-0.014774756743014827
3,4,160,-0.013357581536237815,246,-0.014725178132259318,160,-0.01431444924414206,246,-0.01472616798819848
3,3,128,-0.012917634993933972,194,-0.014642519381666125,128,-0.013968792889310227,194,-0.014642620358088831
3,2,96,-0.012186463032865026,142,-0.014512958850018213,96,-0.013277128554573327,142,-0.014516291874149535
2,40,984,-0.01364775470175087,1548,-0.01488605161364692,984,-0.01489315778261495,1548,-0.01488868909262244
2,34,840,-0.013644731103924774,1320,-0.014885116828543737,840,-0.014890501596938815,1320,-0.014887770029763893
2,29,720,-0.013640680261164051,1130,-0.014883885845551174,720,-0.014886946279782624,1130,-0.014886559400788247
2,24,600,-0.013633904928823585,940,-0.014881870384579101,600,-0.014881006046381557,940,-0.014884576429249117
2,21,528,-0.013627386275432791,826,-0.014879972225095177,528,-0.014875296200849177,826,-0.014882707932547935
2,18,456,-0.013617444664911594,712,-0.014877138281312558,456,-0.014866594610379336,712,-0.014879916589155195
2,15,384,-0.01360118416969204,598,-0.014872625317925476,384,-0.014852370368936977,598,-0.014875467281526824
2,13,336,-0.013583820785575568,522,-0.014867932403457159,336,-0.014837181165014137,522,-0.014870835085760103
2,11,288,-0.013556642056766096,446,-0.014860776192152014,288,-0.014813382896187898,446,-0.014863760763227745
2,9,240,-0.013510637970602351,370,-0.014849020937085544,240,-0.014772975797209357,370,-0.0148521128100469
2,8,216,-0.013474696660847545,332,-0.014840044257976503,216,-0.014741253022508009,332,-0.014843196723312597
2,7,192,-0.01342375990347872,294,-0.014827520596353996,192,-0.014696006396176343,294,-0.014830729950435993
2,6,168,-0.01334845845523984,256,-0.01480926375020423,168,-0.014628394671941934,256,-0.014812507146413632
2,5,144,-0.013231289412868464,218,-0.014781144253863428,144,-0.0145212255737554,218,-0.014784354581953568
2,4,120,-0.013037637008827723,180,-0.014734866959169748,120,-0.014338127908006607,180,-0.014737893918332676
2,3,96,-0.012697258652987415,142,-0.014653692536383735,96,-0.013995366327289153,142,-0.014655890361534911
2,2,72,-0.01209733393426255,104,-0.01452336426731876,72,-0.013304609108862319,104,-0.014528285603478155
