ny,nx,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8
4,13,560,-0.014476822809090246,906,-0.015604985208758923,560,-0.014945709068509028,906,-0.015815946003604687
4,11,480,-0.014401783033064133,774,-0.015523429653178935,480,-0.014889888839236946,774,-0.01569761057649395
4,9,400,-0.014295666285138559,642,-0.015422804785885768,400,-0.01481654965796784,642,-0.015552712716955037
4,8,360,-0.014222146840770828,576,-0.015363306356074,360,-0.014768400743554335,576,-0.015468510123585976
4,7,320,-0.01412545046725934,510,-0.015295660416333491,320,-0.01470688100324925,510,-0.015375082008130276
4,6,280,-0.013991863295634977,444,-0.01521716965884793,280,-0.014623179306691441,444,-0.015270689064240268
4,5,240,-0.013796786190900863,378,-0.015123296544556495,240,-0.01450015137092618,378,-0.015153067817508296
4,4,200,-0.013494683250050338,312,-0.015005964549906494,200,-0.014301788897648769,312,-0.015013051012137476
4,3,160,-0.013002538693438185,246,-0.014850389925669711,160,-0.013945769582346132,246,-0.01485224618263724
4,2,120,-0.01221225345670617,180,-0.014646406401583748,120,-0.013246921471089908,180,-0.014624754812990916
3,40,1312,-0.014626424692108828,2118,-0.016168960766688525,1312,-0.015299540578603513,2118,-0.016574407774463142
3,34,1120,-0.01464369861243921,1806,-0.016223335619872853,1120,-0.01532191745828006,1806,-0.016636565315908437
3,29,960,-0.014648282105908975,1546,-0.016263592249645825,960,-0.015332392510215748,1546,-0.016680993724374246
3,24,800,-0.014633110276102007,1286,-0.016285044201442406,800,-0.015325172563897923,1286,-0.016700257740947307
3,21,704,-0.014607035010887155,1130,-0.0162777707442887,704,-0.01530519334723653,1130,-0.016685363062454564
3,18,608,-0.01456079279871523,974,-0.016243523385732848,608,-0.015266483416984885,974,-0.016635445906745962
3,15,512,-0.014485572295083165,818,-0.016168229416921486,512,-0.015201228361083112,818,-0.016532796798731944
3,13,448,-0.01441331425785849,714,-0.016086716836142646,448,-0.01513822857627127,714,-0.016424478778724407
3,11,384,-0.014316903861599617,610,-0.015973610270786726,384,-0.01505534154890604,610,-0.016275896738788324
3,9,320,-0.014185753083890643,506,-0.015823134049158083,320,-0.014946379779960694,506,-0.016078575582893394
3,8,288,-0.014100410679950163,454,-0.01573187674722625,288,-0.014878154531288166,454,-0.015958109372055183
3,7,256,-0.013994403854629292,402,-0.015628433386016733,256,-0.014796044824137393,402,-0.015820419639794386
3,6,224,-0.013856423226969599,350,-0.015510799010671454,224,-0.014692292199465952,350,-0.015662803838868387
3,5,192,-0.013665151899581179,298,-0.015375160908206795,192,-0.014550899688151,298,-0.015482176806048185
3,4,160,-0.013379090631402834,246,-0.015213716366338625,160,-0.014336706287531394,246,-0.015271234450373584
3,3,128,-0.012918452011957807,194,-0.015010740127831868,128,-0.013967241671407718,194,-0.015039290357372457
3,2,96,-0.012171576479651407,142,-0.014754494712175199,96,-0.013256364785030875,142,-0.014726693333047764
2,40,984,-0.014233834057676639,1548,-0.016420338620988073,984,-0.015491566400227174,1548,-0.016722033899309003
2,34,840,-0.014309521641304477,1320,-0.016550342167951208,840,-0.015574860519041467,1320,-0.016864534520538304
2,29,720,-0.014379558380211899,1130,-0.016685988347566547,720,-0.015655470804705557,1130,-0.017015500336488118
2,24,600,-0.014447505009013789,940,-0.016847260244276983,600,-0.015740408962460196,940,-0.017199501020080447
2,21,528,-0.014477559899674008,826,-0.01695012798912952,528,-0.01578488696016448,826,-0.017321391404902197
2,18,456,-0.014485447979232065,712,-0.01704268901725061,456,-0.01581045498860586,712,-0.017438474624962938
2,15,384,-0.014448535118198639,598,-0.017093308091973868,384,-0.01579252265856799,598,-0.017519736628750126
2,13,336,-0.0143813021117286,522,-0.017073745069679697,336,-0.015735862386794235,522,-0.017522907747473317
2,11,288,-0.014262966806550379,446,-0.016977975644337253,288,-0.015622848599221258,446,-0.017448019177540408
2,9,240,-0.014076854283507703,370,-0.01677026583194438,240,-0.015433348348958471,370,-0.017249912891511444
2,8,216,-0.013953136924533415,332,-0.016614819678241518,216,-0.015304284895279687,332,-0.017088745552191704
2,7,192,-0.013805691459482069,294,-0.01642302783985673,192,-0.015149740484147295,294,-0.016878181388034187
2,6,168,-0.01362989780231683,256,-0.016196833141790573,168,-0.014966464976244981,256,-0.01661345471153664
2,5,144,-0.01341494631897991,218,-0.015940562983856665,144,-0.014745453778727912,218,-0.016291489376263603
2,4,120,-0.013133824687837104,180,-0.015657431462888522,120,-0.014460003147727529,180,-0.015911611327337257
2,3,96,-0.01272240438382929,142,-0.015341014164801449,96,-0.014034351110925596,142,-0.015488724373172679
2,2,72,-0.012074712338510485,104,-0.014983798041120567,72,-0.013289503510824668,104,-0.014982850811257086
