ny,nx,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8
4,2,120,-0.012215604809524272,180,-0.014650301811734556,120,-0.013250366531520012,180,-0.014628685801018134
3,40,1312,-0.014631917105660806,2118,-0.016174188757455764,1312,-0.015304969632317988,2118,-0.01657957275090112
3,34,1120,-0.014649294074446241,1806,-0.01622865155284223,1120,-0.01532744916122345,1806,-0.01664181208828991
3,29,960,-0.014653953135169193,1546,-0.016268987656880406,960,-0.015338007489876047,1546,-0.016686321875726755
3,24,800,-0.014638822536335888,1286,-0.016290510745826155,800,-0.01533084787965321,1286,-0.01670567239439212
3,21,704,-0.014612736710831888,1130,-0.016283262303206928,704,-0.015310876722458969,1130,-0.016690822914546932
3,18,608,-0.0145664382193,974,-0.016249010182399663,608,-0.015272135160603495,974,-0.016640933292297523
3,15,512,-0.014491094104391828,818,-0.016173660770231385,512,-0.015206786930682056,818,-0.01653827660208709
3,13,448,-0.014418704096364652,714,-0.01609207044225286,448,-0.015143678144849898,714,-0.01642992250057185
3,11,384,-0.014322114039045299,610,-0.01597884481931437,384,-0.015060635958896952,610,-0.01628126994597575
3,9,320,-0.014190731509759405,506,-0.015828203567565688,320,-0.014951467847202521,506,-0.016083833923832485
3,8,288,-0.014105253664031574,454,-0.015736846733140294,288,-0.01488311996181411,454,-0.015963289486109176
3,7,256,-0.013999099284158323,402,-0.015633293999531755,256,-0.014800875352071018,402,-0.0158255045112401
3,6,224,-0.013860960331515489,350,-0.015515542913925089,224,-0.014696976497334764,350,-0.015667773609507017
3,5,192,-0.013669521450504337,298,-0.015379784808664301,192,-0.01455542686171491,298,-0.015487010459981864
3,4,160,-0.013383284522960757,246,-0.015218222885575861,160,-0.01434106308608842,246,-0.015275912056308225
3,3,128,-0.01292246385655608,194,-0.01501513951348733,128,-0.01397140204682408,194,-0.015043817196603224
3,2,96,-0.012175416908937059,142,-0.014758802037033919,96,-0.013260296359265336,142,-0.014731058491889742
2,40,984,-0.014238098052011117,1548,-0.01642464512448826,984,-0.015495731598060888,1548,-0.01672652452129535
2,34,840,-0.01431388362759637,1320,-0.016554583902090622,840,-0.015579076017041973,1320,-0.01686893663834527
2,29,720,-0.014384052356983977,1130,-0.016690170489796208,720,-0.015659757611964992,1130,-0.017019814764096232
2,24,600,-0.014452204130853212,940,-0.01685138759903262,600,-0.015744814218648814,940,-0.017203720719119346
2,21,528,-0.014482428156102808,826,-0.016954234408889626,528,-0.015789396871600272,826,-0.017325558240355952
2,18,456,-0.014490518487959472,712,-0.017046794012046906,456,-0.01581509925073385,712,-0.01744260084664527
2,15,384,-0.014453816722138529,598,-0.01709743989547605,384,-0.01579732140808053,598,-0.01752384377948193
2,13,336,-0.014386696882957345,522,-0.01707790940923711,336,-0.015740755733944338,522,-0.017527015544059294
2,11,288,-0.014268410328092495,446,-0.016982173952099538,288,-0.015627799071486974,446,-0.017452132899498658
2,9,240,-0.014082233778896598,370,-0.016774480259482496,240,-0.01543827821824584,370,-0.01725402778938864
2,8,216,-0.013958429109455666,332,-0.016619028844770525,216,-0.01530916293858128,332,-0.01709285752077879
2,7,192,-0.013810857666355128,294,-0.016427221528782412,192,-0.015154536082349927,294,-0.016882290263883167
2,6,168,-0.013634904229737066,256,-0.016201003391776637,168,-0.01497115041700199,256,-0.016617564735867455
2,5,144,-0.013419770272428046,218,-0.015944707139322226,144,-0.014750009818097192,218,-0.016295608974792618
2,4,120,-0.01313845950912188,180,-0.015661553583831554,120,-0.014464423807859688,180,-0.015915746594253707
2,3,96,-0.012726859732932392,142,-0.015345122842033165,96,-0.01403864793493408,142,-0.015492871090010405
2,2,72,-0.012079009577756546,104,-0.014987901184178646,72,-0.013293696579554443,104,-0.014986964681520129
