ny,nx,dofs_t3,disp_t3,dofs_t6,disp_t6,dofs_q4,disp_q4,dofs_q8,disp_q8
4,21,880,-0.014644354047735697,1434,-0.01579619591847126,880,-0.015082283426842213,1434,-0.01609727060324535
4,18,760,-0.014598176302069788,1236,-0.015745601346014135,760,-0.015043523864969422,1236,-0.016021364942984104
4,15,640,-0.01453395481284098,1038,-0.015670998847800467,640,-0.014990718755577793,1038,-0.01591197734364958
4,13,560,-0.014476822809082779,906,-0.015604985208783747,560,-0.014945709068511528,906,-0.015815946003605023
4,11,480,-0.014401783033072425,774,-0.015523429653196636,480,-0.014889888839223818,774,-0.015697610576505167
4,9,400,-0.014295666285141997,642,-0.015422804785882658,400,-0.014816549657947289,642,-0.015552712716944134
4,8,360,-0.01422214684076959,576,-0.015363306356068362,360,-0.014768400743554507,576,-0.01546851012359383
4,7,320,-0.014125450467220902,510,-0.01529566041635377,320,-0.014706881003242382,510,-0.015375082008110826
4,6,280,-0.013991863295646823,444,-0.01521716965884864,280,-0.014623179306702889,444,-0.015270689064220156
4,5,240,-0.013796786190917195,378,-0.01512329654459606,240,-0.014500151370925807,378,-0.015153067817495456
4,4,200,-0.013494683250056077,312,-0.015005964549916621,200,-0.014301788897668538,312,-0.015013051012151267
4,3,160,-0.013002538693424033,246,-0.014850389925618036,160,-0.013945769582324498,246,-0.014852246182640555
4,2,120,-0.012212253456707874,180,-0.014646406401576224,120,-0.013246921471101798,180,-0.014624754813001899
3,40,1312,-0.014626424692216552,2118,-0.016168960766808224,1312,-0.015299540578565536,2118,-0.016574407774459645
3,34,1120,-0.014643698612397399,1806,-0.01622333561988917,1120,-0.015321917458284573,1806,-0.016636565315943208
3,29,960,-0.014648282105838876,1546,-0.016263592249639046,960,-0.015332392510190236,1546,-0.016680993724259057
3,24,800,-0.014633110276142449,1286,-0.01628504420146183,800,-0.015325172563874377,1286,-0.016700257740964335
3,21,704,-0.014607035010943603,1130,-0.016277770744233436,704,-0.015305193347254699,1130,-0.016685363062494317
3,18,608,-0.014560792798762576,974,-0.01624352338577795,608,-0.015266483416981452,974,-0.01663544590670217
3,15,512,-0.014485572295091889,818,-0.016168229416900524,512,-0.015201228361050156,818,-0.016532796798710878
3,13,448,-0.01441331425786791,714,-0.016086716836168018,448,-0.015138228576281122,714,-0.01642447877874241
3,11,384,-0.014316903861607819,610,-0.015973610270769618,384,-0.015055341548901644,610,-0.016275896738745257
3,9,320,-0.014185753083916824,506,-0.015823134049152494,320,-0.01494637977996086,506,-0.016078575582902082
3,8,288,-0.014100410679965016,454,-0.01573187674723859,288,-0.014878154531290454,454,-0.015958109372078397
3,7,256,-0.01399440385463173,402,-0.01562843338601805,256,-0.014796044824126942,402,-0.015820419639777015
3,6,224,-0.013856423226969167,350,-0.015510799010653996,224,-0.014692292199471872,350,-0.015662803838848983
3,5,192,-0.01366515189959613,298,-0.015375160908207326,192,-0.014550899688149058,298,-0.01548217680603937
3,4,160,-0.013379090631392851,246,-0.015213716366336802,160,-0.014336706287538928,246,-0.015271234450367106
3,3,128,-0.012918452011940956,194,-0.015010740127854642,128,-0.013967241671416752,194,-0.015039290357372833
3,2,96,-0.012171576479649704,142,-0.014754494712165197,96,-0.01325636478503673,142,-0.01472669333304928
2,40,984,-0.014233834057858908,1548,-0.016420338620987778,984,-0.015491566400390915,1548,-0.016722033899344468
2,34,840,-0.014309521641290535,1320,-0.016550342167982086,840,-0.015574860519011151,1320,-0.01686453452063493
2,29,720,-0.014379558380220609,1130,-0.01668598834766136,720,-0.01565547080474824,1130,-0.017015500336472405
2,24,600,-0.014447505008986585,940,-0.016847260244348752,600,-0.015740408962450193,940,-0.017199501020119044
2,21,528,-0.01447755989973795,826,-0.016950127989144925,528,-0.015784886960203578,826,-0.017321391404884933
2,18,456,-0.014485447979220257,712,-0.017042689017294332,456,-0.015810454988583852,712,-0.017438474624988515
2,15,384,-0.014448535118193133,598,-0.017093308091942275,384,-0.015792522658551016,598,-0.017519736628751798
2,13,336,-0.014381302111715448,522,-0.017073745069678233,336,-0.015735862386811815,522,-0.017522907747485647
2,11,288,-0.014262966806571614,446,-0.016977975644350597,288,-0.015622848599205498,446,-0.01744801917755847
2,9,240,-0.014076854283518516,370,-0.016770265831936918,240,-0.015433348348955043,370,-0.017249912891517102
2,8,216,-0.013953136924535632,332,-0.016614819678235093,216,-0.015304284895289134,332,-0.01708874555219322
2,7,192,-0.013805691459482952,294,-0.016423027839850196,192,-0.015149740484136663,294,-0.016878181388007663
2,6,168,-0.013629897802313133,256,-0.0161968331418024,168,-0.014966464976251087,256,-0.016613454711559533
2,5,144,-0.013414946318978428,218,-0.01594056298386474,144,-0.014745453778718495,218,-0.01629148937625301
2,4,120,-0.013133824687837558,180,-0.015657431462891773,120,-0.01446000314772439,180,-0.015911611327328955
2,3,96,-0.012722404383825782,142,-0.015341014164799733,96,-0.014034351110924036,142,-0.01548872437317024
2,2,72,-0.012074712338519178,104,-0.014983798041125089,72,-0.013289503510815412,104,-0.014982850811252175
